Departamento,Municipio,Código
RETALHULEU,NUEVO SAN CARLOS,1108
RETALHULEU,RETALHULEU,1101
RETALHULEU,SAN ANDRÁS VILLA SECA,1106
RETALHULEU,SAN FELIPE RETALHULEU,1105
RETALHULEU,SAN MARTÁN ZAPOTITLÁN,1104
RETALHULEU,SAN SEBASTIÁN,1102
RETALHULEU,SANTA CRUZ MULUÁ,1103
RETALHULEU,,11
SACATEPEQUEZ,ALOTENANGO,314
SACATEPEQUEZ,ANTIGUA GUATEMALA,301
SACATEPEQUEZ,CIUDAD VIEJA,312
SACATEPEQUEZ,JOCOTENANGO,302
SACATEPEQUEZ,MAGDALENA MILPAS ALTAS,310
SACATEPEQUEZ,PASTORES,303
SACATEPEQUEZ,SAN ANTONIO AGUAS CALIENTES,315
SACATEPEQUEZ,SAN BARTOLOMÁ MILPAS ALTAS,307
SACATEPEQUEZ,SAN LUCAS SACATEPÁQUEZ,308
SACATEPEQUEZ,SAN MIGUEL DUEÁAS,313
SACATEPEQUEZ,SANTA CATARINA BARAHONA,316
SACATEPEQUEZ,SANTA LUCÁA MILPAS ALTAS,309
SACATEPEQUEZ,SANTA MARÁA DE JESÁS,311
SACATEPEQUEZ,SANTIAGO SACATEPÁQUEZ,306
SACATEPEQUEZ,SANTO DOMINGO XENACOJ,305
SACATEPEQUEZ,SUMPANGO,304
SACATEPEQUEZ,,3
SAN MARCOS,AYUTLA,1217
SAN MARCOS,CATARINA,1216
SAN MARCOS,COMITANCILLO,1204
SAN MARCOS,CONCEPCIÁN TUTUAPA,1206
SAN MARCOS,EL QUETZAL,1220
SAN MARCOS,EL RODEO,1214
SAN MARCOS,EL TUMBADOR,1213
SAN MARCOS,ESQUIPULAS PALO GORDO,1227
SAN MARCOS,IXCHIGUÁN,1223
SAN MARCOS,LA BLANCA,1230
SAN MARCOS,LA REFORMA,1221
SAN MARCOS,MALACATÁN,1215
SAN MARCOS,NUEVO PROGRESO,1212
SAN MARCOS,OCÁS,1218
SAN MARCOS,PAJAPITA,1222
SAN MARCOS,RÁO BLANCO,1228
SAN MARCOS,SAN ANTONIO SACATEPÁQUEZ,1203
SAN MARCOS,SAN CRISTOBAL CUCHO,1225
SAN MARCOS,SAN JOSÁ OJETENAM,1224
SAN MARCOS,SAN LORENZO,1229
SAN MARCOS,SAN MARCOS,1201
SAN MARCOS,SAN MIGUEL IXTAHUACAN,1205
SAN MARCOS,SAN PABLO,1219
SAN MARCOS,SAN PEDRO SACATEPÁQUEZ,1202
SAN MARCOS,SAN RAFAEL PIE DE LA CUESTA,1211
SAN MARCOS,SIBINAL,1208
SAN MARCOS,SIPACAPA,1226
SAN MARCOS,TACANÁ,1207
SAN MARCOS,TAJUMULCO,1209
SAN MARCOS,TEJUTLA,1210
SAN MARCOS,,12
SANTA ROSA,BARBERENA,602
SANTA ROSA,CASILLAS,604
SANTA ROSA,CHIQUIMULILLA,608
SANTA ROSA,CUILAPA,601
SANTA ROSA,GUAZACAPÁN,611
SANTA ROSA,NUEVA SANTA ROSA,614
SANTA ROSA,ORATORIO,606
SANTA ROSA,PUEBLO NUEVO VIÁAS,613
SANTA ROSA,SAN JUAN TECUACO,607
SANTA ROSA,SAN RAFAEL LAS FLORES,605
SANTA ROSA,SANTA CRUZ NARANJO,612
SANTA ROSA,SANTA MARÁA IXHUATÁN,610
SANTA ROSA,SANTA ROSA DE LIMA,603
SANTA ROSA,TAXISCO,609
SANTA ROSA,,6
SOLOLA,CONCEPCIÁN,708
SOLOLA,NAHUALÁ,705
SOLOLA,PANAJACHEL,710
SOLOLA,SAN ANDRÁS SEMETABAJ,709
SOLOLA,SAN ANTONIO PALAPÁ,712
SOLOLA,SAN JOSÁ CHACAYÁ,702
SOLOLA,SAN JUAN LA LAGUNA,717
SOLOLA,SAN LUCAS TOLIMÁN,713
SOLOLA,SAN MARCOS LA LAGUNA,716
SOLOLA,SAN PABLO LA LAGUNA,715
SOLOLA,SAN PEDRO LA LAGUNA,718
SOLOLA,SANTA CATARINA IXTAHUACÁN,706
SOLOLA,SANTA CATARINA PALAPÁ,711
SOLOLA,SANTA CLARA LA LAGUNA,707
SOLOLA,SANTA CRUZ LA LAGUNA,714
SOLOLA,SANTA LUCÁA UTATLÁN,704
SOLOLA,SANTA MARÁA VISITACIÁN,703
SOLOLA,SANTIAGO ATITLÁN,719
SOLOLA,SOLOLÁ,701
SOLOLA,,7
SUCHITEPEQUEZ,CHICACAO,1013
SUCHITEPEQUEZ,CUYOTENANGO,1002
SUCHITEPEQUEZ,MAZATENANGO,1001
SUCHITEPEQUEZ,PATULUL,1014
SUCHITEPEQUEZ,PUEBLO NUEVO,1019
SUCHITEPEQUEZ,RÁO BRAVO,1020
SUCHITEPEQUEZ,SAMAYAC,1008
SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPÁQUEZ,1010
SUCHITEPEQUEZ,SAN BERNANDINO,1004
SUCHITEPEQUEZ,SAN FRANCISCO ZAPOTITLÁN,1003
SUCHITEPEQUEZ,SAN GABRIEL,1012
SUCHITEPEQUEZ,SAN JOSÁ EL IDOLO,1005
SUCHITEPEQUEZ,SAN JOSÁ LA MÁQUINA,1021
SUCHITEPEQUEZ,SAN JUAN BAUTISTA,1016
SUCHITEPEQUEZ,SAN LORENZO,1007
SUCHITEPEQUEZ,SAN MIGUEL PANAN,1011
SUCHITEPEQUEZ,SAN PABLO JOCOPILA,1009
SUCHITEPEQUEZ,SANTA BARBARA,1015
SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPÁQUEZ,1006
SUCHITEPEQUEZ,SANTO TOMAS LA UNIÁN,1017
SUCHITEPEQUEZ,ZUNILITO,1018
SUCHITEPEQUEZ,,10
TOTONICAPAN,MOMOSTENANGO,805
TOTONICAPAN,SAN ANDRÁS XECUL,804
TOTONICAPAN,SAN BARTOLO,808
TOTONICAPAN,SAN CRISTÁBAL TOTONICAPÁN,802
TOTONICAPAN,SAN FRANCISCO EL ALTO,803
TOTONICAPAN,SANTA LUCIA LA REFORMA,807
TOTONICAPAN,SANTA MARÁA CHIQUIMULA,806
TOTONICAPAN,TOTONICAPÁN,801
TOTONICAPAN,,8
ZACAPA,CABAÁAS,1907
ZACAPA,ESTANZUELA,1902
ZACAPA,GUALÁN,1904
ZACAPA,HUITÁ,1910
ZACAPA,LA UNIÁN,1909
ZACAPA,RIO HONDO,1903
ZACAPA,SAN DIEGO,1908
ZACAPA,SAN JORGE,1911
ZACAPA,TECULUTÁN,1905
ZACAPA,USUMATLÁN,1906
ZACAPA,ZACAPA,1901
ZACAPA,,19
