Departamento,Territorio,Municipio,Código
SAN MARCOS,T7,AYUTLA,1217
SAN MARCOS,T4,OCÓS,1218
SAN MARCOS,T7,SAN PABLO,1219
SAN MARCOS,T7,EL QUETZAL,1220
SAN MARCOS,T7,LA REFORMA,1221
SAN MARCOS,T7,PAJAPITA,1222
SAN MARCOS,T1,IXCHIGUÁN,1223
SAN MARCOS,T4,SAN JOSÉ OJETENAM,1224
SAN MARCOS,T4,SAN CRISTOBAL CUCHO,1225
SAN MARCOS,T1,SIPACAPA,1226
SAN MARCOS,T5,ESQUIPULAS PALO GORDO,1227
SAN MARCOS,T4,RÍO BLANCO,1228
SAN MARCOS,T4,SAN LORENZO,1229
SAN MARCOS,,LA BLANCA,1230
HUEHUETENANGO,T9,HUEHUETENANGO,1301
HUEHUETENANGO,T2,CHIANTLA,1302
HUEHUETENANGO,T5,MALACATANCITO,1303
HUEHUETENANGO,T1,CUILCO,1304
HUEHUETENANGO,T2,NENTÓN,1305
HUEHUETENANGO,T1,SAN PEDRO NECTA,1306
HUEHUETENANGO,T1,JACALTENANGO,1307
HUEHUETENANGO,T1,SOLOMA,1308
HUEHUETENANGO,T1,SAN IDELFONSO IXTAHUACÁN,1309
HUEHUETENANGO,T7,SANTA BÁRBARA,1310
HUEHUETENANGO,T8,LA LIBERTAD,1311
HUEHUETENANGO,T7,LA DEMOCRACIA,1312
HUEHUETENANGO,T1,SAN MIGUEL ACATÁN,1313
HUEHUETENANGO,T1,SAN RAFAEL INDEPENDENCIA,1314
HUEHUETENANGO,T1,TODOS SANTOS CUCHUMATÁN,1315
HUEHUETENANGO,T1,SAN JUAN ATITÁN,1316
HUEHUETENANGO,T1,SANTA EULALIA,1317
HUEHUETENANGO,T1,SAN MATEO IXTATÁN,1318
HUEHUETENANGO,T1,COLOTENANGO,1319
HUEHUETENANGO,T1,SAN SEBASTIÁN HUEHUETENANGO,1320
HUEHUETENANGO,T2,TECTITÁN,1321
HUEHUETENANGO,T1,CONCEPCIÓN HUISTA,1322
HUEHUETENANGO,T1,SAN JUAN IXCOY,1323
HUEHUETENANGO,T4,SAN ANTONIO HUISTA,1324
HUEHUETENANGO,T1,SAN SEBASTIÁN COATÁN,1325
HUEHUETENANGO,T2,BARILLAS,1326
HUEHUETENANGO,T1,AGUACATÁN,1327
HUEHUETENANGO,T1,SAN RAFAEL PÉTZAL,1328
HUEHUETENANGO,T1,SAN GASPAR IXCHIL,1329
HUEHUETENANGO,T1,SANTIAGO CHIMALTENANGO,1330
HUEHUETENANGO,T4,SANTA ANA HUISTA,1331
HUEHUETENANGO,,UNIÓN CANTINIL,1332
QUICHÉ,T9,SANTA CRUZ DEL QUICHÉ,1401
QUICHÉ,T1,CHICHÉ,1402
QUICHÉ,T1,CHINIQUE,1403
QUICHÉ,T1,ZACUALPA,1404
QUICHÉ,T2,CHAJUL,1405
QUICHÉ,T1,CHICHICASTENANGO,1406
QUICHÉ,T1,PATZITÉ,1407
QUICHÉ,T1,SAN ANTONIO ILOTENANGO,1408
QUICHÉ,T1,SAN PEDRO JOCOPILAS,1409
QUICHÉ,T1,CUNÉN,1410
QUICHÉ,T1,SAN JUAN COTZAL,1411
QUICHÉ,T1,JOYABAJ,1412
QUICHÉ,T1,NEBAJ,1413
QUICHÉ,T1,SAN ANDRÉS SAJCABAJA,1414
QUICHÉ,T2,USPANTÁN,1415
QUICHÉ,T1,SACAPULAS,1416
QUICHÉ,T1,SAN BARTOLOMÉ JOCOTENANGO,1417
QUICHÉ,T4,CANILLÁ,1418
QUICHÉ,T2,CHICAMÁN,1419
QUICHÉ,T2,PLAYA GRANDE-IXCÁN,1420
QUICHÉ,T5,PACHALUM,1421
BAJA VERAPAZ,T5,SALAMÁ,1501
BAJA VERAPAZ,T5,SAN MIGUEL CHICAJ,1502
BAJA VERAPAZ,T5,RABINAL,1503
BAJA VERAPAZ,T2,CUBULCO,1504
BAJA VERAPAZ,T5,GRANADOS,1505
BAJA VERAPAZ,T5,EL CHOL,1506
BAJA VERAPAZ,T5,SAN JERÓNIMO,1507
BAJA VERAPAZ,T2,PURULHÁ,1508
ALTA VERAPAZ,T2,COBÁN,1601
ALTA VERAPAZ,T1,SANTA CRUZ VERAPAZ,1602
ALTA VERAPAZ,T1,SAN CRISTÓBAL VERAPAZ,1603
ALTA VERAPAZ,T1,TACTIC,1604
ALTA VERAPAZ,T1,TAMAHÚ,1605
ALTA VERAPAZ,T2,TUCURÚ,1606
ALTA VERAPAZ,T2,PANZÓS,1607
ALTA VERAPAZ,T2,SENAHÚ,1608
ALTA VERAPAZ,T2,SAN PEDRO CARCHÁ,1609
ALTA VERAPAZ,T1,SAN JUAN CHAMELCO,1610
ALTA VERAPAZ,T2,LANQUÍN,1611
ALTA VERAPAZ,T2,CAHABÓN,1612
ALTA VERAPAZ,T2,CHISEC,1613
ALTA VERAPAZ,T2,CHAHAL,1614
ALTA VERAPAZ,T2,FRAY BARTOLOMÉ DE LAS CASAS,1615
ALTA VERAPAZ,T2,SANTA CATALINA LA TINTA,1616
ALTA VERAPAZ,T2,RAXRUHÁ,1617
PETÉN,T8,FLORES,1701
PETÉN,T8,SAN JOSÉ,1702
PETÉN,T9,SAN BENITO,1703
PETÉN,T8,SAN ANDRÉS,1704
PETÉN,T8,LA LIBERTAD,1705
PETÉN,T3,SAN FRANCISCO,1706
PETÉN,T3,SANTA ANA,1707
PETÉN,T8,DOLORES,1708
PETÉN,T8,SAN LUIS,1709
PETÉN,T8,SAYAXCHÉ,1710
PETÉN,T8,MELCHOR DE MENCOS,1711
PETÉN,T3,POPTÚN,1712
PETÉN,,LAS CRUCES,1713
PETÉN,,EL CHAL,1714
IZABAL,T3,PUERTO BARRIOS,1801
IZABAL,T2,LIVINGSTÓN,1802
IZABAL,T2,EL ESTOR,1803
IZABAL,T3,MORALES,1804
IZABAL,T3,LOS AMATES,1805
ZACAPA,T5,ZACAPA,1901
ZACAPA,T5,ESTANZUELA,1902
ZACAPA,T5,RIO HONDO,1903
ZACAPA,T3,GUALÁN,1904
ZACAPA,T5,TECULUTÁN,1905
ZACAPA,T5,USUMATLÁN,1906
ZACAPA,T5,CABAÑAS,1907
ZACAPA,T5,SAN DIEGO,1908
ZACAPA,T7,LA UNIÓN,1909
ZACAPA,T5,HUITÉ,1910
ZACAPA,,SAN JORGE,1911
CHIQUIMULA,T5,CHIQUIMULA,2001
CHIQUIMULA,T5,SAN JOSÉ LA ARADA,2002
CHIQUIMULA,T4,SAN JUAN ERMITA,2003
CHIQUIMULA,T2,JOCOTÁN,2004
CHIQUIMULA,T3,CAMOTÁN,2005
CHIQUIMULA,T3,OLOPA,2006
CHIQUIMULA,T3,ESQUIPULAS,2007
CHIQUIMULA,T5,CONCEPCIÓN LAS MINAS,2008
CHIQUIMULA,T5,QUETZALTEPEQUE,2009
CHIQUIMULA,T5,SAN JACINTO,2010
CHIQUIMULA,T5,IPALA,2011
JALAPA,T5,JALAPA,2101
JALAPA,T3,SAN PEDRO PINULA,2102
JALAPA,T5,SAN LUIS JILOTEPEQUE,2103
JALAPA,T5,SAN MANUEL CHAPARRÓN,2104
JALAPA,T4,SAN CARLOS ALZATATE,2105
JALAPA,T5,MONJAS,2106
JALAPA,T4,MATAQUESCUINTLA,2107
JUTIAPA,T3,JUTIAPA,2201
JUTIAPA,T5,EL PROGRESO,2202
JUTIAPA,T5,SANTA CATARINA MITA,2203
JUTIAPA,T5,AGUA BLANCA,2204
JUTIAPA,T5,ASUNCIÓN MITA,2205
JUTIAPA,T4,YUPILTEPEQUE,2206
JUTIAPA,T5,ATESCATEMPA,2207
JUTIAPA,T5,JEREZ,2208
JUTIAPA,T4,EL ADELANTO,2209
JUTIAPA,T4,ZAPOTITLÁN,2210
JUTIAPA,T4,COMAPA,2211
JUTIAPA,T5,JALPATAGUA,2212
JUTIAPA,T4,CONGUACO,2213
JUTIAPA,T4,MOYUTA,2214
JUTIAPA,T4,PASACO,2215
JUTIAPA,T5,SAN JOSÉ ACATEMPA,2216
JUTIAPA,T5,QUESADA,2217
