Departamento,Municipio,Código,Territorio
SACATEPEQUEZ,SANTIAGO SACATEPÞQUEZ,306,T6
SACATEPEQUEZ,SAN BARTOLOMÉ MILPAS ALTAS,307,T9
SACATEPEQUEZ,SAN LUCAS SACATEPÉQUEZ,308,T9
SACATEPEQUEZ,SANTA LUCÍA MILPAS ALTAS,309,T9
SACATEPEQUEZ,MAGDALENA MILPAS ALTAS,310,T5
SACATEPEQUEZ,SANTA MARÍA DE JESÚS,311,T6
SACATEPEQUEZ,CIUDAD VIEJA,312,T5
SACATEPEQUEZ,SAN MIGUEL DUEÑAS,313,T5
SACATEPEQUEZ,ALOTENANGO,314,T7
SACATEPEQUEZ,SAN ANTONIO AGUAS CALIENTES,315,T9
SACATEPEQUEZ,SANTA CATARINA BARAHONA,316,T9
CHIMALTENANGO,CHIMALTENANGO,401,T9
CHIMALTENANGO,SAN JOSÉ POAQUIL,402,T1
CHIMALTENANGO,SAN MARTÍN JILOTEPEQUE,403,T1
CHIMALTENANGO,COMALAPA,404,T6
CHIMALTENANGO,SANTA APOLONIA,405,T6
CHIMALTENANGO,TECPÁN GUATEMALA,406,T1
CHIMALTENANGO,PATZÚN,407,T6
CHIMALTENANGO,POCHUTA,408,T7
CHIMALTENANGO,PATZICÍA,409,T6
CHIMALTENANGO,SANTA CRUZ BALANYÁ,410,T6
CHIMALTENANGO,ACATENANGO,411,T1
CHIMALTENANGO,YEPOCAPA,412,T7
CHIMALTENANGO,SAN ANDRÉS IZTAPA,413,T6
CHIMALTENANGO,PARRAMOS,414,T6
CHIMALTENANGO,ZARAGOZA,415,T5
CHIMALTENANGO,EL TEJAR,416,T9
ESCUINTLA,ESCUINTLA,501,T3
ESCUINTLA,SANTA LUCIA COTZULMALGUAPA,502,T7
ESCUINTLA,LA DEMOCRACIA,503,T7
ESCUINTLA,SIQUINALÁ,504,T7
ESCUINTLA,MASAGUA,505,T4
ESCUINTLA,TIQUISATE,506,T4
ESCUINTLA,LA GOMERA,507,T4
ESCUINTLA,GUANAGAZAPA,508,T4
ESCUINTLA,SAN JOSÉ,509,T7
ESCUINTLA,IZTAPA,510,T7
ESCUINTLA,PALÍN,511,T9
ESCUINTLA,SAN VICENTE PACAYA,512,T4
ESCUINTLA,NUEVA CONCEPCIÓN,513,T4
SANTA ROSA,CUILAPA,601,T5
SANTA ROSA,BARBERENA,602,T5
SANTA ROSA,SANTA ROSA DE LIMA,603,T4
SANTA ROSA,CASILLAS,604,T4
SANTA ROSA,SAN RAFAEL LAS FLORES,605,T4
SANTA ROSA,ORATORIO,606,T4
SANTA ROSA,SAN JUAN TECUACO,607,T4
SANTA ROSA,CHIQUIMULILLA,608,T4
SANTA ROSA,TAXISCO,609,T4
SANTA ROSA,SANTA MARÍA IXHUATÁN,610,T4
SANTA ROSA,GUAZACAPÁN,611,T5
SANTA ROSA,SANTA CRUZ NARANJO,612,T5
SANTA ROSA,PUEBLO NUEVO VIÑAS,613,T4
SANTA ROSA,NUEVA SANTA ROSA,614,T4
SOLOLA,SOLOLÁ,701,T1
SOLOLA,SAN JOSÉ CHACAYÁ,702,T6
SOLOLA,SANTA MARÍA VISITACIÓN,703,T9
SOLOLA,SANTA LUCÍA UTATLÁN,704,T6
SOLOLA,NAHUALÁ,705,T1
SOLOLA,SANTA CATARINA IXTAHUACÁN,706,T1
SOLOLA,SANTA CLARA LA LAGUNA,707,T6
SOLOLA,CONCEPCIÓN,708,T1
SOLOLA,SAN ANDRÉS SEMETABAJ,709,T6
SOLOLA,PANAJACHEL,710,T9
SOLOLA,SANTA CATARINA PALAPÓ,711,T1
SOLOLA,SAN ANTONIO PALAPÓ,712,T6
SOLOLA,SAN LUCAS TOLIMÁN,713,T6
SOLOLA,SANTA CRUZ LA LAGUNA,714,T1
SOLOLA,SAN PABLO LA LAGUNA,715,T1
SOLOLA,SAN MARCOS LA LAGUNA,716,T6
SOLOLA,SAN JUAN LA LAGUNA,717,T6
SOLOLA,SAN PEDRO LA LAGUNA,718,T9
SOLOLA,SANTIAGO ATITLÁN,719,T6
TOTONICAPAN,TOTONICAPÁN,801,T9
TOTONICAPAN,SAN CRISTÓBAL TOTONICAPÁN,802,T6
TOTONICAPAN,SAN FRANCISCO EL ALTO,803,T6
TOTONICAPAN,SAN ANDRÉS XECUL,804,T6
TOTONICAPAN,MOMOSTENANGO,805,T1
TOTONICAPAN,SANTA MARÍA CHIQUIMULA,806,T1
TOTONICAPAN,SANTA LUCIA LA REFORMA,807,T1
TOTONICAPAN,SAN BARTOLO,808,T1
QUETZALTENANGO,QUETZALTENANGO,901,T9
QUETZALTENANGO,SALCAJÁ,902,T5
QUETZALTENANGO,OLINTEPEQUE,903,T9
QUETZALTENANGO,SAN CARLOS SIJA,904,T5
QUETZALTENANGO,SIBILIA,905,T4
QUETZALTENANGO,CABRICÁN,906,T1
QUETZALTENANGO,CAJOLÁ,907,T1
QUETZALTENANGO,SAN MIGUEL SIGÜILA,908,T1
QUETZALTENANGO,SAN JUAN OSTUNCALCO,909,T6
QUETZALTENANGO,SAN MATEO,910,T9
QUETZALTENANGO,CONCEPCIÓN CHIQUIRICHAPA,911,T1
QUETZALTENANGO,SAN MARTÍN SACATEPÉQUEZ,912,T1
QUETZALTENANGO,ALMOLONGA,913,T6
QUETZALTENANGO,CANTEL,914,T9
QUETZALTENANGO,HUITÁN,915,T1
QUETZALTENANGO,ZUNIL,916,T1
QUETZALTENANGO,COLOMBA,917,T7
QUETZALTENANGO,SAN FRANCISCO LA UNIÓN,918,T6
QUETZALTENANGO,EL PALMAR,919,T7
QUETZALTENANGO,COATEPEQUE,920,T7
QUETZALTENANGO,GÉNOVA,921,T7
QUETZALTENANGO,FLORES COSTA CUCA,922,T7
QUETZALTENANGO,LA ESPERANZA,923,T9
QUETZALTENANGO,PALESTINA DE LOS ALTOS,924,T1
SUCHITEPEQUEZ,MAZATENANGO,1001,T9
SUCHITEPEQUEZ,CUYOTENANGO,1002,T7
SUCHITEPEQUEZ,SAN FRANCISCO ZAPOTITLÁN,1003,T7
SUCHITEPEQUEZ,SAN BERNANDINO,1004,T7
SUCHITEPEQUEZ,SAN JOSÉ EL IDOLO,1005,T7
SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPÉQUEZ,1006,T7
SUCHITEPEQUEZ,SAN LORENZO,1007,T4
SUCHITEPEQUEZ,SAMAYAC,1008,T7
SUCHITEPEQUEZ,SAN PABLO JOCOPILA,1009,T7
SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPÉQUEZ,1010,T7
SUCHITEPEQUEZ,SAN MIGUEL PANAN,1011,T7
SUCHITEPEQUEZ,SAN GABRIEL,1012,T7
SUCHITEPEQUEZ,CHICACAO,1013,T7
SUCHITEPEQUEZ,PATULUL,1014,T7
SUCHITEPEQUEZ,SANTA BARBARA,1015,T7
SUCHITEPEQUEZ,SAN JUAN BAUTISTA,1016,T7
SUCHITEPEQUEZ,SANTO TOMAS LA UNIÓN,1017,T7
SUCHITEPEQUEZ,ZUNILITO,1018,T7
SUCHITEPEQUEZ,PUEBLO NUEVO,1019,T7
SUCHITEPEQUEZ,RÍO BRAVO,1020,T7
SUCHITEPEQUEZ,SAN JOSÉ LA MÁQUINA,1021,
RETALHULEU,RETALHULEU,1101,T3
RETALHULEU,SAN SEBASTIÁN,1102,T7
RETALHULEU,SANTA CRUZ MULUÁ,1103,T7
RETALHULEU,SAN MARTÍN ZAPOTITLÁN,1104,T7
RETALHULEU,SAN FELIPE RETALHULEU,1105,T7
RETALHULEU,SAN ANDRÉS VILLA SECA,1106,T4
RETALHULEU,CHAMPERICO,1107,T4
RETALHULEU,NUEVO SAN CARLOS,1108,T7
RETALHULEU,EL ASINTAL,1109,T7
SAN MARCOS,SAN MARCOS,1201,T9
SAN MARCOS,SAN PEDRO SACATEPÉQUEZ,1202,T9
SAN MARCOS,SAN ANTONIO SACATEPÉQUEZ,1203,T4
SAN MARCOS,COMITANCILLO,1204,T1
SAN MARCOS,SAN MIGUEL IXTAHUACAN,1205,T1
SAN MARCOS,CONCEPCIÓN TUTUAPA,1206,T1
SAN MARCOS,TACANÁ,1207,T1
SAN MARCOS,SIBINAL,1208,T4
SAN MARCOS,TAJUMULCO,1209,T1
SAN MARCOS,TEJUTLA,1210,T4
SAN MARCOS,SAN RAFAEL PIE DE LA CUESTA,1211,T7
SAN MARCOS,NUEVO PROGRESO,1212,T7
SAN MARCOS,EL TUMBADOR,1213,T7
SAN MARCOS,EL RODEO,1214,T7
SAN MARCOS,MALACATÁN,1215,T7
SAN MARCOS,CATARINA,1216,T7
SAN MARCOS,AYUTLA,1217,T7
SAN MARCOS,OCÓS,1218,T4
SAN MARCOS,SAN PABLO,1219,T7
SAN MARCOS,EL QUETZAL,1220,T7
SAN MARCOS,LA REFORMA,1221,T7
SAN MARCOS,PAJAPITA,1222,T7
SAN MARCOS,IXCHIGUÁN,1223,T1
SAN MARCOS,SAN JOSÉ OJETENAM,1224,T4
SAN MARCOS,SAN CRISTOBAL CUCHO,1225,T4
SAN MARCOS,SIPACAPA,1226,T1
SAN MARCOS,ESQUIPULAS PALO GORDO,1227,T5
SAN MARCOS,RÍO BLANCO,1228,T4
SAN MARCOS,SAN LORENZO,1229,T4
SAN MARCOS,LA BLANCA,1230,
HUEHUETENANGO,HUEHUETENANGO,1301,T9
HUEHUETENANGO,CHIANTLA,1302,T2
HUEHUETENANGO,MALACATANCITO,1303,T5
HUEHUETENANGO,CUILCO,1304,T1
HUEHUETENANGO,NENTÓN,1305,T2
HUEHUETENANGO,SAN PEDRO NECTA,1306,T1
HUEHUETENANGO,JACALTENANGO,1307,T1
HUEHUETENANGO,SOLOMA,1308,T1
HUEHUETENANGO,SAN IDELFONSO IXTAHUACÁN,1309,T1
HUEHUETENANGO,SANTA BÁRBARA,1310,T7
HUEHUETENANGO,LA LIBERTAD,1311,T8
HUEHUETENANGO,LA DEMOCRACIA,1312,T7
HUEHUETENANGO,SAN MIGUEL ACATÁN,1313,T1
HUEHUETENANGO,SAN RAFAEL INDEPENDENCIA,1314,T1
HUEHUETENANGO,TODOS SANTOS CUCHUMATÁN,1315,T1
HUEHUETENANGO,SAN JUAN ATITÁN,1316,T1
HUEHUETENANGO,SANTA EULALIA,1317,T1
HUEHUETENANGO,SAN MATEO IXTATÁN,1318,T1
HUEHUETENANGO,COLOTENANGO,1319,T1
HUEHUETENANGO,SAN SEBASTIÁN HUEHUETENANGO,1320,T1
HUEHUETENANGO,TECTITÁN,1321,T2
HUEHUETENANGO,CONCEPCIÓN HUISTA,1322,T1
HUEHUETENANGO,SAN JUAN IXCOY,1323,T1
HUEHUETENANGO,SAN ANTONIO HUISTA,1324,T4
HUEHUETENANGO,SAN SEBASTIÁN COATÁN,1325,T1
HUEHUETENANGO,BARILLAS,1326,T2
HUEHUETENANGO,AGUACATÁN,1327,T1
HUEHUETENANGO,SAN RAFAEL PÉTZAL,1328,T1
HUEHUETENANGO,SAN GASPAR IXCHIL,1329,T1
HUEHUETENANGO,SANTIAGO CHIMALTENANGO,1330,T1
HUEHUETENANGO,SANTA ANA HUISTA,1331,T4
HUEHUETENANGO,UNIÓN CANTINIL,1332,
QUICHE,SANTA CRUZ DEL QUICHÉ,1401,T9
QUICHE,CHICHÉ,1402,T1
QUICHE,CHINIQUE,1403,T1
QUICHE,ZACUALPA,1404,T1
QUICHE,CHAJUL,1405,T2
QUICHE,CHICHICASTENANGO,1406,T1
QUICHE,PATZITÉ,1407,T1
QUICHE,SAN ANTONIO ILOTENANGO,1408,T1
QUICHE,SAN PEDRO JOCOPILAS,1409,T1
QUICHE,CUNÉN,1410,T1
QUICHE,SAN JUAN COTZAL,1411,T1
QUICHE,JOYABAJ,1412,T1
QUICHE,NEBAJ,1413,T1
QUICHE,SAN ANDRÉS SAJCABAJA,1414,T1
QUICHE,USPANTÁN,1415,T2
QUICHE,SACAPULAS,1416,T1
QUICHE,SAN BARTOLOMÉ JOCOTENANGO,1417,T1
QUICHE,CANILLÁ,1418,T4
QUICHE,CHICAMÁN,1419,T2
QUICHE,PLAYA GRANDE-IXCÁN,1420,T2
QUICHE,PACHALUM,1421,T5
BAJA VERAPAZ,SALAMÁ,1501,T5
BAJA VERAPAZ,SAN MIGUEL CHICAJ,1502,T5
BAJA VERAPAZ,RABINAL,1503,T5
BAJA VERAPAZ,CUBULCO,1504,T2
BAJA VERAPAZ,GRANADOS,1505,T5
BAJA VERAPAZ,EL CHOL,1506,T5
BAJA VERAPAZ,SAN JERÓNIMO,1507,T5
BAJA VERAPAZ,PURULHÁ,1508,T2
ALTA VERAPAZ,COBÁN,1601,T2
ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,T1
ALTA VERAPAZ,SAN CRISTÓBAL VERAPAZ,1603,T1
ALTA VERAPAZ,TACTIC,1604,T1
ALTA VERAPAZ,TAMAHÚ,1605,T1
ALTA VERAPAZ,TUCURÚ,1606,T2
ALTA VERAPAZ,PANZÓS,1607,T2
ALTA VERAPAZ,SENAHÚ,1608,T2
ALTA VERAPAZ,SAN PEDRO CARCHÁ,1609,T2
ALTA VERAPAZ,SAN JUAN CHAMELCO,1610,T1
ALTA VERAPAZ,LANQUÍN,1611,T2
ALTA VERAPAZ,CAHABÓN,1612,T2
ALTA VERAPAZ,CHISEC,1613,T2
ALTA VERAPAZ,CHAHAL,1614,T2
ALTA VERAPAZ,FRAY BARTOLOMÉ DE LAS CASAS,1615,T2
ALTA VERAPAZ,SANTA CATALINA LA TINTA,1616,T2
ALTA VERAPAZ,RAXRUHÁ,1617,T2
PETEN,FLORES,1701,T8
PETEN,SAN JOSÉ,1702,T8
PETEN,SAN BENITO,1703,T9
PETEN,SAN ANDRÉS,1704,T8
PETEN,LA LIBERTAD,1705,T8
PETEN,SAN FRANCISCO,1706,T3
PETEN,SANTA ANA,1707,T3
PETEN,DOLORES,1708,T8
PETEN,SAN LUIS,1709,T8
PETEN,SAYAXCHÉ,1710,T8
PETEN,MELCHOR DE MENCOS,1711,T8
PETEN,POPTÚN,1712,T3
PETEN,LAS CRUCES,1713,
PETEN,EL CHAL,1714,
IZABAL,PUERTO BARRIOS,1801,T3
IZABAL,LIVINGSTÓN,1802,T2
IZABAL,EL ESTOR,1803,T2
IZABAL,MORALES,1804,T3
IZABAL,LOS AMATES,1805,T3
ZACAPA,ZACAPA,1901,T5
ZACAPA,ESTANZUELA,1902,T5
ZACAPA,RIO HONDO,1903,T5
ZACAPA,GUALÁN,1904,T3
ZACAPA,TECULUTÁN,1905,T5
ZACAPA,USUMATLÁN,1906,T5
ZACAPA,CABAÑAS,1907,T5
ZACAPA,SAN DIEGO,1908,T5
ZACAPA,LA UNIÓN,1909,T7
ZACAPA,HUITÉ,1910,T5
ZACAPA,SAN JORGE,1911,
CHIQUIMULA,CHIQUIMULA,2001,T5
CHIQUIMULA,SAN JOSÉ LA ARADA,2002,T5
CHIQUIMULA,SAN JUAN ERMITA,2003,T4
CHIQUIMULA,JOCOTÁN,2004,T2
CHIQUIMULA,CAMOTÁN,2005,T3
CHIQUIMULA,OLOPA,2006,T3
CHIQUIMULA,ESQUIPULAS,2007,T3
CHIQUIMULA,CONCEPCIÓN LAS MINAS,2008,T5
CHIQUIMULA,QUETZALTEPEQUE,2009,T5
CHIQUIMULA,SAN JACINTO,2010,T5
CHIQUIMULA,IPALA,2011,T5
JALAPA,JALAPA,2101,T5
JALAPA,SAN PEDRO PINULA,2102,T3
JALAPA,SAN LUIS JILOTEPEQUE,2103,T5
JALAPA,SAN MANUEL CHAPARRÓN,2104,T5
JALAPA,SAN CARLOS ALZATATE,2105,T4
JALAPA,MONJAS,2106,T5
JALAPA,MATAQUESCUINTLA,2107,T4
JUTIAPA,JUTIAPA,2201,T3
JUTIAPA,EL PROGRESO,2202,T5
JUTIAPA,SANTA CATARINA MITA,2203,T5
JUTIAPA,AGUA BLANCA,2204,T5
JUTIAPA,ASUNCIÓN MITA,2205,T5
JUTIAPA,YUPILTEPEQUE,2206,T4
JUTIAPA,ATESCATEMPA,2207,T5
JUTIAPA,JEREZ,2208,T5
JUTIAPA,EL ADELANTO,2209,T4
JUTIAPA,ZAPOTITLÁN,2210,T4
JUTIAPA,COMAPA,2211,T4
JUTIAPA,JALPATAGUA,2212,T5
JUTIAPA,CONGUACO,2213,T4
JUTIAPA,MOYUTA,2214,T4
JUTIAPA,PASACO,2215,T4
JUTIAPA,SAN JOSÉ ACATEMPA,2216,T5
JUTIAPA,QUESADA,2217,T5
