Departamento  ,Territorio   ,Municipio                  ,Código
12            ,T1           ,IXCHIGUÁN                  ,1223
12            ,T4           ,SAN JOSÉ OJETENAM          ,1224
12            ,T4           ,SAN CRISTOBAL CUCHO        ,1225
12            ,T1           ,SIPACAPA                   ,1226
12            ,T5           ,ESQUIPULAS PALO GORDO      ,1227
12            ,T4           ,RÍO BLANCO                 ,1228
12            ,T4           ,SAN LORENZO                ,1229
12            ,             ,LA BLANCA                  ,1230
13            ,T9           ,HUEHUETENANGO              ,1301
13            ,T2           ,CHIANTLA                   ,1302
13            ,T5           ,MALACATANCITO              ,1303
13            ,T1           ,CUILCO                     ,1304
13            ,T2           ,NENTÓN                     ,1305
13            ,T1           ,SAN PEDRO NECTA            ,1306
13            ,T1           ,JACALTENANGO               ,1307
13            ,T1           ,SOLOMA                     ,1308
13            ,T1           ,SAN IDELFONSO IXTAHUACÁN   ,1309
13            ,T7           ,SANTA BÁRBARA              ,1310
13            ,T8           ,LA LIBERTAD                ,1311
13            ,T7           ,LA DEMOCRACIA              ,1312
13            ,T1           ,SAN MIGUEL ACATÁN          ,1313
13            ,T1           ,SAN RAFAEL INDEPENDENCIA   ,1314
13            ,T1           ,TODOS SANTOS CUCHUMATÁN    ,1315
13            ,T1           ,SAN JUAN ATITÁN            ,1316
13            ,T1           ,SANTA EULALIA              ,1317
13            ,T1           ,SAN MATEO IXTATÁN          ,1318
13            ,T1           ,COLOTENANGO                ,1319
13            ,T1           ,SAN SEBASTIÁN HUEHUETENANGO,1320
13            ,T2           ,TECTITÁN                   ,1321
13            ,T1           ,CONCEPCIÓN HUISTA          ,1322
13            ,T1           ,SAN JUAN IXCOY             ,1323
13            ,T4           ,SAN ANTONIO HUISTA         ,1324
13            ,T1           ,SAN SEBASTIÁN COATÁN       ,1325
13            ,T2           ,BARILLAS                   ,1326
13            ,T1           ,AGUACATÁN                  ,1327
13            ,T1           ,SAN RAFAEL PÉTZAL          ,1328
13            ,T1           ,SAN GASPAR IXCHIL          ,1329
13            ,T1           ,SANTIAGO CHIMALTENANGO     ,1330
13            ,T4           ,SANTA ANA HUISTA           ,1331
13            ,             ,UNIÓN CANTINIL             ,1332
14            ,T9           ,SANTA CRUZ DEL QUICHÉ      ,1401
14            ,T1           ,CHICHÉ                     ,1402
14            ,T1           ,CHINIQUE                   ,1403
14            ,T1           ,ZACUALPA                   ,1404
14            ,T2           ,CHAJUL                     ,1405
14            ,T1           ,CHICHICASTENANGO           ,1406
14            ,T1           ,PATZITÉ                    ,1407
14            ,T1           ,SAN ANTONIO ILOTENANGO     ,1408
14            ,T1           ,SAN PEDRO JOCOPILAS        ,1409
14            ,T1           ,CUNÉN                      ,1410
14            ,T1           ,SAN JUAN COTZAL            ,1411
14            ,T1           ,JOYABAJ                    ,1412
14            ,T1           ,NEBAJ                      ,1413
14            ,T1           ,SAN ANDRÉS SAJCABAJA       ,1414
14            ,T2           ,USPANTÁN                   ,1415
14            ,T1           ,SACAPULAS                  ,1416
14            ,T1           ,SAN BARTOLOMÉ JOCOTENANGO  ,1417
14            ,T4           ,CANILLÁ                    ,1418
14            ,T2           ,CHICAMÁN                   ,1419
14            ,T2           ,PLAYA GRANDE-IXCÁN         ,1420
14            ,T5           ,PACHALUM                   ,1421
15            ,T5           ,SALAMÁ                     ,1501
15            ,T5           ,SAN MIGUEL CHICAJ          ,1502
15            ,T5           ,RABINAL                    ,1503
15            ,T2           ,CUBULCO                    ,1504
15            ,T5           ,GRANADOS                   ,1505
15            ,T5           ,EL CHOL                    ,1506
15            ,T5           ,SAN JERÓNIMO               ,1507
15            ,T2           ,PURULHÁ                    ,1508
16            ,T2           ,COBÁN                      ,1601
16            ,T1           ,SANTA CRUZ VERAPAZ         ,1602
16            ,T1           ,SAN CRISTÓBAL VERAPAZ      ,1603
16            ,T1           ,TACTIC                     ,1604
16            ,T1           ,TAMAHÚ                     ,1605
16            ,T2           ,TUCURÚ                     ,1606
16            ,T2           ,PANZÓS                     ,1607
16            ,T2           ,SENAHÚ                     ,1608
16            ,T2           ,SAN PEDRO CARCHÁ           ,1609
16            ,T1           ,SAN JUAN CHAMELCO          ,1610
16            ,T2           ,LANQUÍN                    ,1611
16            ,T2           ,CAHABÓN                    ,1612
16            ,T2           ,CHISEC                     ,1613
16            ,T2           ,CHAHAL                     ,1614
16            ,T2           ,FRAY BARTOLOMÉ DE LAS CASAS,1615
16            ,T2           ,SANTA CATALINA LA TINTA    ,1616
16            ,T2           ,RAXRUHÁ                    ,1617
17            ,T8           ,FLORES                     ,1701
17            ,T8           ,SAN JOSÉ                   ,1702
17            ,T9           ,SAN BENITO                 ,1703
17            ,T8           ,SAN ANDRÉS                 ,1704
17            ,T8           ,LA LIBERTAD                ,1705
17            ,T3           ,SAN FRANCISCO              ,1706
17            ,T3           ,SANTA ANA                  ,1707
17            ,T8           ,DOLORES                    ,1708
17            ,T8           ,SAN LUIS                   ,1709
17            ,T8           ,SAYAXCHÉ                   ,1710
17            ,T8           ,MELCHOR DE MENCOS          ,1711
17            ,T3           ,POPTÚN                     ,1712
17            ,             ,LAS CRUCES                 ,1713
17            ,             ,EL CHAL                    ,1714
18            ,T3           ,PUERTO BARRIOS             ,1801
18            ,T2           ,LIVINGSTÓN                 ,1802
18            ,T2           ,EL ESTOR                   ,1803
18            ,T3           ,MORALES                    ,1804
18            ,T3           ,LOS AMATES                 ,1805
19            ,T5           ,ZACAPA                     ,1901
19            ,T5           ,ESTANZUELA                 ,1902
19            ,T5           ,RIO HONDO                  ,1903
19            ,T3           ,GUALÁN                     ,1904
19            ,T5           ,TECULUTÁN                  ,1905
19            ,T5           ,USUMATLÁN                  ,1906
19            ,T5           ,CABAÑAS                    ,1907
19            ,T5           ,SAN DIEGO                  ,1908
19            ,T7           ,LA UNIÓN                   ,1909
19            ,T5           ,HUITÉ                      ,1910
19            ,             ,SAN JORGE                  ,1911
20            ,T5           ,CHIQUIMULA                 ,2001
20            ,T5           ,SAN JOSÉ LA ARADA          ,2002
20            ,T4           ,SAN JUAN ERMITA            ,2003
20            ,T2           ,JOCOTÁN                    ,2004
20            ,T3           ,CAMOTÁN                    ,2005
20            ,T3           ,OLOPA                      ,2006
20            ,T3           ,ESQUIPULAS                 ,2007
20            ,T5           ,CONCEPCIÓN LAS MINAS       ,2008
20            ,T5           ,QUETZALTEPEQUE             ,2009
20            ,T5           ,SAN JACINTO                ,2010
20            ,T5           ,IPALA                      ,2011
21            ,T5           ,JALAPA                     ,2101
21            ,T3           ,SAN PEDRO PINULA           ,2102
21            ,T5           ,SAN LUIS JILOTEPEQUE       ,2103
21            ,T5           ,SAN MANUEL CHAPARRÓN       ,2104
21            ,T4           ,SAN CARLOS ALZATATE        ,2105
21            ,T5           ,MONJAS                     ,2106
21            ,T4           ,MATAQUESCUINTLA            ,2107
22            ,T3           ,JUTIAPA                    ,2201
22            ,T5           ,EL PROGRESO                ,2202
22            ,T5           ,SANTA CATARINA MITA        ,2203
22            ,T5           ,AGUA BLANCA                ,2204
22            ,T5           ,ASUNCIÓN MITA              ,2205
22            ,T4           ,YUPILTEPEQUE               ,2206
22            ,T5           ,ATESCATEMPA                ,2207
22            ,T5           ,JEREZ                      ,2208
22            ,T4           ,EL ADELANTO                ,2209
22            ,T4           ,ZAPOTITLÁN                 ,2210
22            ,T4           ,COMAPA                     ,2211
22            ,T5           ,JALPATAGUA                 ,2212
22            ,T4           ,CONGUACO                   ,2213
22            ,T4           ,MOYUTA                     ,2214
22            ,T4           ,PASACO                     ,2215
22            ,T5           ,SAN JOSÉ ACATEMPA          ,2216
22            ,T5           ,QUESADA                    ,2217
